HDR|PAYER=Ascent|PERIOD_START=2026-01-01|PERIOD_END=2026-03-31|CYCLE=quarterly
NDC|PRODUCT|DOSAGE|PLAN_ID|PLAN_NAME|PLAN_ADDRESS|FORMULARY_ID|UTIL_UNITS|REBATE_AMT|REBATE_RATE_PCT
00074-3727-90|SYNTHROID|50 mcg|ESI-0027X|Pref (B4) Form. Drug List|900 Mission St, San Francisco, CA 94103||5125|11787.50|23.0
00074-3727-90|SYNTHROID|75 mcg|ESI-0028|Preferred Formulary Guide|300 Broad Street, Philadelphia, PA 19102|DEMO-063_BCBSTennessee_Preferred|5298|12185.40|23.0
00074-3727-90|SYNTHROID|100 mcg|ESI-0029|Essential Q Formulary|77 Lakeshore Drive, Detroit, MI 48226|DEMO-064_BlueCrossNC_Essential5Tier|5471|12583.30|23.0
00074-3727-90|SYNTHROID|112 mcg|ESI_0030|Exclusive Full Formulary|100 Main St, Austin, TX 78701||5644|12981.20|23.0
00074-3727-90|SYNTHROID|125 mcg|ESI-0031|Select Drug Program Formulary|200 Market Avenue, Washington, DC 20001|DEMO-066_IndependenceBC_SelectDrug|5817|13379.10|23.0
00074-3727-90|SYNTHROID|50 mcg|ESI-0032X|EmblemHlth Essential Plan, Individual and Family Plans, and Small G...|500 Commerce Blvd, St Louis, MO 63101||5990|13777.00|23.0
00074-3727-90|SYNTHROID|75 mcg|ESI-0033|CareFirst Formulary 2|12 Oak Rd, Chicago, IL 60601|DEMO-068_CareFirst_FEHB|6163|14174.90|23.0
00074-3727-90|SYNTHROID|100 mcg|ESI-0034|Excellus IndividualDrugList|88 Pine Drive, Boston, MA 02108|DEMO-069_Excellus_IndividualDrugList|6336|14572.80|23.0
00074-3727-90|SYNTHROID|112 mcg|ESI-0036|Basic Annual, Multi-Tier Basic Annual, Enhanced Annual, Multi-Tier En...|15 Peachtree St, Atlanta, GA 30303|DEMO-071_BCBSIllinois_HCSC_MultiPlan|6509|15621.60|24.0
00074-3727-90|SYNTHROID|125 mcg|ESI-0037|BCBSAlabama DrugGuide|900 Mission Street, San Francisco, CA 94103|4157 AL|6682|18041.40|27.0
00074-3727-90|SYNTHROID|50 mcg|ESI-0038X|Geisinger Traditional Form.|300 Broad St, Philadelphia, PA 19102||6855|15766.50|23.0
00074-3727-90|SYNTHROID|75 mcg|ESI-0039|Premium 3-Tier|77 Lakeshore Dr, Detroit, MI 48226|DEMO-074_HarvardPilgrim_Premium3T|7028|16164.40|23.0
00074-3727-90|SYNTHROID|100 mcg|ESI-0040|Medica Commercial Drug List|100 Main Street, Austin, TX 78701|DEMO-075_Medica_CommercialDrugList|7201|16562.30|23.0
00074-3727-90|SYNTHROID|112 mcg|ESI-0041|HealthPartners|200 Market Avenue, Washington, DC 20001|DEMO-076_HealthPartners_Formulary|7374|16960.20|23.0
00074-3727-90|SYNTHROID|125 mcg|ESI-0042|2026 Prescription Drug 5-Tier Formulary|500 Commerce Blvd, St Louis, MO 63101|DEMO-077_Providence_FormularyF|7547|17358.10|23.0
00074-3727-90|SYNTHROID|50 mcg|ESI-0043X|PriorityHlth ApprovedDrugList|12 Oak Rd, Chicago, IL 60601||7720|17756.00|23.0
00074-3727-90|SYNTHROID|75 mcg|ESI-0044|UPMC|88 Pine Drive, Boston, MA 02108|DEMO-079_UPMC_Formulary|7893|18153.90|23.0
00074-3727-90|SYNTHROID|100 mcg|ESI_0045|Community Health Options|440 Harbor Way, Seattle, WA 98101||8066|18551.80|23.0
00074-3727-90|SYNTHROID|112 mcg|ESI-0046|Group Plan Formularies|15 Peachtree Street, Atlanta, GA 30303|DEMO-081_Presbyterian_GroupFormularies|8239|18949.70|23.0
00074-3727-90|SYNTHROID|125 mcg|ESI-0047|Express Scripts Medicare (PDP) 2026 Formulary|900 Mission Street, San Francisco, CA 94103|26023|8412|23553.60|28.0
00074-3727-90|SYNTHROID|50 mcg|ESI-0048X|Humana Form.|300 Broad St, Philadelphia, PA 19102||8585|25755.00|30.0
00074-3727-90|SYNTHROID|75 mcg|ESI-0049|Humana Formulary|77 Lakeshore Drive, Detroit, MI 48226|26402|8758|26274.00|30.0
00074-3727-90|SYNTHROID|100 mcg|ESI-0050|Wellcare Classic (PDP)|100 Main Street, Austin, TX 78701|26191|8931|24113.70|27.0
00074-3727-90|SYNTHROID|112 mcg|ESI-0051|Wellcare Value Script (PDP)|200 Market Ave, Washington, DC 20001|26195|9104|24580.80|27.0
00074-3727-90|SYNTHROID|125 mcg|ESI_0052|2026 Formulary|500 Commerce Boulevard, Saint Louis, MO 63101||9277|22264.80|24.0
00074-3727-90|SYNTHROID|50 mcg|ESI-0053X|2026 Comprehensive Form.|12 Oak Rd, Chicago, IL 60601||9450|23152.50|24.5
00074-3727-90|SYNTHROID|75 mcg|ESI-0054|2026 BlueMedicare Comprehensive Formulary|88 Pine Dr, Boston, MA 02108|00026250 version 16|9623|25500.95|26.5
00074-3727-90|SYNTHROID|100 mcg|ESI-0055|2026 Core Comprehensive Formulary|440 Harbor Way, Seattle, WA 98101|26449|9796|24490.00|25.0
00074-3727-90|SYNTHROID|112 mcg|ESI-0056|Anthem Medicare Preferred (PPO) with Senior Rx Plus|15 Peachtree Street, Atlanta, GA 30303|DEMO-098_Anthem_MedicarePreferredPPO|9969|27414.75|27.5
00074-3727-90|SYNTHROID|125 mcg|ESI-0057|SCAN Formulary|900 Mission St, San Francisco, CA 94103|Y0057_SCAN_22199_2026|10142|23326.60|23.0
00074-3727-90|SYNTHROID|50 mcg|ESI-0058X|2026 Form.|300 Broad St, Philadelphia, PA 19102||10315|23724.50|23.0
